Species
Americorophium spinicorne
Vibilia viatrix
Lissocarcinus arkati
Xylocheles miersi
Gaillardiellus rueppelli
Lachnopodus tahitensis
Pilodius granulatus
Bathynomus miyarei
Achaeus lacertosus
Achelous panamensis
Lissosabinea unispinosa
Euphausia hemigibba
Loxoconcha triconicula
Rotundopotamonautes rwanda
Gomeza bicornis
Pagurus hedleyi
Scottomyzon gibberum
Temora stylifera
Cubaris murina
Xiphonectes paralatibrachium
Callinectes toxotes
Guernea sulawesiensis
Sacculina verrucosa
Gonodactylellus kandi
Danielopolina carolynae
Corycaeus vitreus
Euaugaptilus bullifer
Calcinus morgani
Pseudoliomera speciosa
Nemausa sinensis
Parapalicus unidentatus
Collodes gibbosus
Aphotopontius arcuatus
Fennerogalathea chani
Macrophthalmus manggala
Disparella valida
Platytyphlops girardi
Calaxius sibogae
Upogebia acanthura
Uroptychus vandamae
Anchimolgus digitatus
Minuca mordax
Squilla deceptrix
Johngarthia lagostoma
Sciacaris telsonis
Benthesicymus investigatoris
Amphibalanus improvisus
Utinomiella dimorpha
Alpheus strenuus
Synalpheus paraneomeris
Lysmata grabhami
Euphausia brevis
Uca panamensis
Leucothoe alata
Gennadas bouvieri
Jocaste japonica
Alox tormos
Pseudopalaemon gouldingi
Venezillo crassus
Minuca burgersi
Thor amboinensis
Leptophoxoides molaris
Paralanceola wolffi
Ceuthoecetes acanthothrix
Cryptodromia mariae
Eugerdella huberti
Euchirella maxima
Subeucalanus pileatus
Nagurus cristatus
Carupa tenuipes
Sesarma curacaoense
Aniculus retipes
Trizocheles loquax
Hoplophrys oatesii
Upogebia carinicauda
Planotergum mirabile
Allogalathea elegans
Oithona amazonica
Caridina acutirostris
Euryrhynchus wrzesniowskii
Chiridius poppei
Procampylaspis lutensis
Lophozozymus pulchellus
Collocheres uncinatus
Anchisquilloides mcneilli
Latreillia metanesa
Pachycheles barbatus
Nasoecia nasotuberculata
Achelous inaequalis
Benthesicymus altus
Macrobrachium equidens
Armases benedicti
Tuerkayana rotundum
Sternostylus hendersoni
Calcinus pulcher
Heterorhabdus papilliger
Cumella aculeata
Lithadia cumingii
Persephona subovata
Spinolambrus notialis
Neopetrolisthes spinatus
Caridina roubaudi
Galathea amamiensis
Spongiaxius matanalem
Paranotodelphys bidentata
Cancrincola longiseta
Galacantha trachynotus
Isomolgus desmotes
Diogenes laevicarpus
Mecynocera clausi
Syntripsa flavichela
Paramolgus promiculus
Papuadocus blodiwai
Plesionika martia
Metapenaeopsis martinella
Moreirocarcinus laevifrons
Dilocarcinus septemdentatus
Macrobrachium digueti
Nepinnotheres pinnotheres
Munidopsis sinclairi
Ocypode cordimana
Cloridopsis terrareginensis
Chaetarcturus myops
Squilla lijdingi
Batea conductor
Eiconaxius heinrichi
Cyphocaris anonyx
Uca maracoani
Galacantha rostrata
Pilumnus vespertilio
Pleuroxus aduncus
Notostomus crosnieri
Xarifia resex
Chlorodiella barbata
Thamneus rostratus
Raoulserenea oxyrhyncha
Limnoria indica
Rotundopotamonautes odhneri
Philocheras incisus
Pleuromamma abdominalis
Alpheus collumianus
Ambiaxius tudak
Expanathura marcoi
Stellicola pollex
Centropages gracilis
Anchialina truncata
Siriella gracilis
Macrobrachium chevalieri
Atergatis floridus
Acanthephyra kingsleyi
Doridicola lumarius
Astericola clausii
Sapphirina sinuicauda
Micippa cristata
Harpilius lutescens
Malayopotamon brevimarginatum
Isolapotamon anomalum
Nursilia tonsor
Psopheticoides sanguineus
Caridina bunyonyiensis
Hoekia monticulariae
Coralliocryptus caementa
Eubelum rusingaense
Palaemonella rotumana
Ergasilus colomesus
Arcturus parvus
Acanthephyra fimbriata
Leiperia cincinnalis
Caridina laroeha
Rotundopotamonautes entebbe
Cryptodromia fallax
Petrochirus diogenes
Dorhynchus thomsoni
Gnathophausia elegans
Challengerosergia talismani
Leucosia anatum
Tetrias scabripes
Nannoniscoides biscutatus
Dardanus venosus
Macrobrachium esculentum
Garymunida sabatesae
Paromolopsis boasi
Petrolisthes tridentatus
Ethusa curvipes
Petrolisthes borradailei
Alcyonohippolyte commensalis
Porcellionides myrmecophilus
Sesarmops imperator
Clibanarius merguiensis
Colobomolgus bandensis
Notodiaptomus paraensis
Lucicutia parva
Haploniscus monoceros
Sacculina sulcata
Williamstimpsonia denticulatus
Leptuca leptodactyla
Trapezionida goga
Euchirella galeata
Probopyrus semperi
Anilocra alloceraea
Ventiella sulfuris
Metacyphocaris helgae
Metapenaeopsis liui
Periclimenes watamuae
Racilius compressus
Scottocalanus farrani
Grypachaeus hyalinus
Platyscelus serratulus
Varuna litterata
Tanaoa agaricias
Nursia phylloides
Caudites exmouthensis
Octolasmis warwicki
Euphausia paragibba
Paraleptuca crassipes
Aegisthus mucronatus
Plesionika ocellus
Eumunida smithii
Deosergestes henseni
Lahaina ovata
Achelous ordwayi
Acanthothelphusa stanleyensis
Neosesarma rectipectinatum
Cheiriphotis quadrichelatus
Mallacoota insignis
Coronida schmitti
Hamopontonia fungicola
Caridina marlenae
Lophothrix frontalis
Euaugaptilus oblongus
Caligus belones
Eubelum asperius
Eugerdella ischnomesoides
Exoclimenella maldivensis
Euryphorus nordmannii
Daldorfia investigatoris
Athanas tenuipes
Zonophryxus trilobus
Kishinouyepenaeopsis cornuta
Macrobrachium minutum
Dardanus jacquesi
Heterocarpus gibbosus
Podophthalmus vigil
Hirsutodynomene ursula
Galathea pascualae
Acantholeberis curvirostris
Candacia guggenheimi
Spherillo brachycephalus
Dairella californica
Vibilia stebbingi
Synalpheus parfaiti
Caridina gracilipes
Hyastenus cracentis
Austinixa transversalis
Cuapetes longirostris
Onesimoides sandroi
Capitulum mitella
Cyrtomaia horrida
Metacirolana spinosa
Vibilia armata
Munidopsis pallida
Rimapenaeus similis
Lophogaster schmidti
Calappa ocellata
Achelous spinimanus
Parathelphusa tridentata
Haptosquilla hamifera
Hippa admirabilis
Galathea raventosae
Galathea minima
Raillietiella boulengeri
Elenacalanus sverdrupi
Calocalanus plumulosus
Sergestes atlanticus
Anchimolgus compressus
Sapphirina darwinii
Conopea calceola
Trischizostoma richeri
Hyastenus uncifer
Aetideus giesbrechti
Odontonia sibogae
Petrolisthes monodi
Cinetorhynchus gabonensis
Arcopotamonautes gerdalensis
Euchaetomera tenuis
Penaeus kerathurus
Clibanarius vittatus
Callinectes marginatus
Dardanus setifer
Farranula longicaudis
Cyclocoeloma tuberculatum
Phronima atlantica
Nephropsis stewarti
Perissocytheridea formosana
Actinimenes ornatellus
Heterocuma intermedia
Atlantocuma tenue
Boreomysis acuminata
Cinetorhynchus hendersoni
Macrobrachium olfersii
Harpiliopsis beaupresii
Alpheus pacificus
Euaugaptilus grandicornis
Myra elegans
Macrobrachium australe
Calappa calappa
Moritschus altaquerensis
Parasquilla meridionalis
Galathea halia
Elenacalanus princeps
Acartia negligens
Tethysbaena somala
Plesionika semilaevis
Thalamita picta
Thalamita mitsiensis
Bathynectes piperitus
Desmocaris trispinosa
Crosnierita dicata
Clibanarius sclopetarius
Hyperia spinigera
Galathea platycheles
Caridina celebensis
